method,model,dataset,seeds,n,auroc_mean,auroc_std,auprc_mean,auprc_std,accuracy_mean,accuracy_std,f1_mean,f1_std,threshold
Ni-Avg-State,qwen_2.5_7b_instruct,trivia_qa_2_60k,0/100/42,8782,0.7804974598632813,0.009070855391301267,0.8047524836788447,0.007729616532829454,0.7070902603810825,0.01923862930507424,0.7271237298614777,0.032928125347708066,0.5
Ni-Avg-State,qwen_2.5_7b_instruct,notable_people,0/100/42,2459,0.7228007011227439,0.06720491806571803,0.6581524913847184,0.07324618543492181,0.6249152772129593,0.05391450366090458,0.4613350202656326,0.3511076605544688,0.5
Ni-Avg-State,qwen_2.5_7b_instruct,cities_10k,0/100/42,1498,0.7768981536734252,0.01926894824922734,0.8252807388485568,0.0234670943811336,0.6766800178015132,0.04755297397028805,0.7022687267603196,0.07594207651479626,0.5
Ni-Avg-State,qwen_2.5_7b_instruct,math_operations_6k,0/100/42,840,0.6196465639680979,0.28864979182650174,0.8672329817500194,0.1057815757636162,0.682142857142857,0.17324189765192718,0.760740520837861,0.20183773117547807,0.5
Ni-Avg-State,qwen_2.5_7b_instruct,medals_9k,0/100/42,1347,0.5520827106756583,0.08182598375710834,0.34474899666907816,0.050860324788285526,0.6562731997030439,0.10109330696774001,0.1967987265453374,0.23571175017459145,0.5
Ni-Avg-State,qwen_2.5_7b_instruct,gsm8k,0/100/42,1318,0.5620629778497678,0.029980072867346354,0.4106971882738268,0.026961379377755588,0.4261507334344967,0.04777158730630944,0.5265588348763175,0.007375526034810034,0.5
Ni-Avg-State,ministral_8b_instruct,trivia_qa_2_60k,0/100/42,8782,0.7686307189630138,0.010635792014175246,0.8327830425368999,0.006986798098381296,0.6993471494724056,0.021644849541722237,0.7429425813645049,0.028370689351637522,0.5
Ni-Avg-State,ministral_8b_instruct,notable_people,0/100/42,2458,0.6680949255996892,0.010334320992573103,0.7893812500541691,0.014610985266852877,0.36113371304583675,0.010720181271479086,0.11577361476967905,0.024835376523730582,0.5
Ni-Avg-State,ministral_8b_instruct,cities_10k,0/100/42,1499,0.7140898364452427,0.14054107122156706,0.863237985468089,0.08404709387450321,0.6557705136757838,0.056358083416926164,0.7282845218092623,0.08735454464351226,0.5
Ni-Avg-State,ministral_8b_instruct,math_operations_6k,0/100/42,840,0.7697036045298873,0.038073966605426515,0.9011638355903466,0.018677500212436523,0.6666666666666666,0.007434521426664795,0.74070684755266,0.020570339828135855,0.5
Ni-Avg-State,ministral_8b_instruct,medals_9k,0/100/42,1347,0.6138995020095023,0.010831657277987006,0.5153554358546826,0.02196648399682558,0.599109131403118,0.019344935739859525,0.31472702027903904,0.17368973028314105,0.5
Ni-Avg-State,ministral_8b_instruct,gsm8k,0/100/42,1318,0.6282225011216608,0.03364005206372741,0.24986335555852102,0.02356189739868872,0.7842690945877592,0.06323115819120712,0.22076667373056624,0.1109143058448563,0.5
Ni-Avg-State,mistral_7b_instruct,trivia_qa_2_60k,0/100/42,8782,0.7963027726970461,0.005437313825257762,0.8520076716278145,0.0030636818133543517,0.7179078417976164,0.014672944974339469,0.7601140820449781,0.023009893595773413,0.5
Ni-Avg-State,mistral_7b_instruct,notable_people,0/100/42,2457,0.7054287400149915,0.04142202935394841,0.9221550866494396,0.01581377456999807,0.41066341066341067,0.37444501952490317,0.3705420626307887,0.4710070991575242,0.5
Ni-Avg-State,mistral_7b_instruct,cities_10k,0/100/42,1497,0.9498589235329833,0.001736289704844943,0.926726734907433,0.014735099764905986,0.7639723892228902,0.08253640907681241,0.6871561683232771,0.1509537049165536,0.5
